Gene	BF	Recall	Precision	FDR
KHDRBS2	-8.060	0.991	0.626	0.374
KIAA0247	-8.060	0.991	0.626	0.374
VASH2	-8.061	0.991	0.626	0.374
LDLRAD3	-8.061	0.991	0.626	0.374
MDGA1	-8.061	0.991	0.626	0.374
CXorf48	-8.061	0.991	0.626	0.374
TYK2	-8.062	0.991	0.626	0.374
FSCN3	-8.062	0.991	0.626	0.374
KCNK10	-8.063	0.991	0.625	0.375
ANKRD13D	-8.065	0.991	0.625	0.375
LMX1B	-8.065	0.991	0.625	0.375
APOA1BP	-8.065	0.991	0.625	0.375
BRD7	-8.065	0.991	0.625	0.375
NANS	-8.066	0.991	0.625	0.375
C5orf54	-8.067	0.991	0.625	0.375
PRDM13	-8.067	0.991	0.625	0.375
CCL1	-8.067	0.991	0.624	0.376
CLC	-8.067	0.991	0.624	0.376
SEC11C	-8.068	0.991	0.624	0.376
C6orf62	-8.068	0.991	0.624	0.376
FAM20B	-8.070	0.991	0.624	0.376
ITPKC	-8.072	0.991	0.624	0.376
TNFRSF1B	-8.072	0.991	0.624	0.376
ARSA	-8.073	0.991	0.624	0.376
BTN2A2	-8.074	0.991	0.624	0.376
RAB33A	-8.075	0.991	0.624	0.376
C12orf43	-8.075	0.991	0.624	0.376
HLA-DOA	-8.077	0.991	0.624	0.376
PRIMA1	-8.077	0.991	0.624	0.376
JSRP1	-8.077	0.991	0.624	0.376
OR1J4	-8.079	0.991	0.624	0.376
SOGA2	-8.081	0.991	0.624	0.376
TMEM192	-8.081	0.991	0.624	0.376
LIN7A	-8.082	0.991	0.624	0.376
STAU1	-8.083	0.991	0.624	0.376
DMD	-8.083	0.991	0.624	0.376
TNIK	-8.083	0.991	0.624	0.376
ARL5B	-8.086	0.991	0.624	0.376
ZZEF1	-8.086	0.991	0.624	0.376
DRD1	-8.088	0.991	0.624	0.376
SLC12A9	-8.088	0.991	0.624	0.376
OR2B6	-8.088	0.991	0.624	0.376
FBXW2	-8.089	0.991	0.624	0.376
HECTD3	-8.090	0.991	0.624	0.376
DAPK3	-8.090	0.991	0.624	0.376
LTK	-8.090	0.991	0.624	0.376
MYRF	-8.090	0.991	0.624	0.376
DCK	-8.091	0.991	0.624	0.376
CPEB1	-8.091	0.991	0.624	0.376
PTPRD	-8.092	0.991	0.624	0.376
DCX	-8.092	0.991	0.624	0.376
PHF19	-8.093	0.991	0.624	0.376
TMEM115	-8.095	0.991	0.624	0.376
TMEM236	-8.095	0.991	0.624	0.376
FCN2	-8.097	0.991	0.624	0.376
ZSCAN16	-8.097	0.991	0.624	0.376
SMTNL2	-8.097	0.991	0.624	0.376
LOXHD1	-8.097	0.991	0.624	0.376
UBQLNL	-8.098	0.991	0.624	0.376
KCNH2	-8.099	0.991	0.624	0.376
IVD	-8.099	0.991	0.624	0.376
TMEM9	-8.099	0.991	0.624	0.376
LRRC16A	-8.100	0.991	0.624	0.376
FLOT1	-8.101	0.991	0.624	0.376
SLC16A13	-8.101	0.991	0.624	0.376
MIXL1	-8.102	0.991	0.624	0.376
LCP2	-8.102	0.991	0.624	0.376
FGD1	-8.102	0.991	0.624	0.376
C8orf46	-8.103	0.991	0.624	0.376
SLC13A4	-8.103	0.991	0.624	0.376
LIG1	-8.105	0.991	0.624	0.376
FRMD4B	-8.105	0.991	0.624	0.376
LIPJ	-8.107	0.991	0.624	0.376
ARID1A	-8.108	0.991	0.624	0.376
BLNK	-8.108	0.991	0.624	0.376
YBX2	-8.109	0.991	0.624	0.376
NFKBIA	-8.110	0.991	0.624	0.376
CCDC88A	-8.113	0.991	0.624	0.376
TCTE3	-8.113	0.991	0.624	0.376
TMX4	-8.113	0.991	0.624	0.376
ZHX3	-8.113	0.991	0.624	0.376
LILRB5	-8.114	0.991	0.624	0.376
CCNDBP1	-8.114	0.991	0.624	0.376
IFNB1	-8.114	0.991	0.623	0.377
DEF6	-8.115	0.991	0.623	0.377
MNT	-8.115	0.991	0.623	0.377
TUSC1	-8.116	0.991	0.623	0.377
ST8SIA6	-8.117	0.991	0.623	0.377
OR4S2	-8.117	0.991	0.623	0.377
PYCR2	-8.118	0.991	0.623	0.377
SPRN	-8.118	0.991	0.623	0.377
OPTC	-8.119	0.991	0.623	0.377
TRAM1L1	-8.119	0.991	0.623	0.377
HIRIP3	-8.119	0.991	0.623	0.377
OTOF	-8.119	0.991	0.623	0.377
ARRDC4	-8.120	0.991	0.623	0.377
ANO2	-8.120	0.991	0.623	0.377
ALDOC	-8.121	0.991	0.623	0.377
PIK3C2G	-8.121	0.991	0.623	0.377
EXOC6B	-8.121	0.991	0.623	0.377
BCL3	-8.122	0.991	0.623	0.377
CHRM1	-8.122	0.991	0.623	0.377
LGALS9	-8.125	0.991	0.623	0.377
CCDC37	-8.125	0.991	0.623	0.377
ABCA2	-8.126	0.991	0.623	0.377
OR2AE1	-8.126	0.991	0.623	0.377
MPHOSPH9	-8.129	0.991	0.623	0.377
PIGV	-8.131	0.991	0.623	0.377
NRK	-8.131	0.991	0.623	0.377
C1orf68	-8.131	0.991	0.623	0.377
KRT71	-8.132	0.991	0.623	0.377
IPP	-8.132	0.991	0.623	0.377
PAX3	-8.132	0.991	0.623	0.377
CXorf23	-8.133	0.991	0.623	0.377
AHSA1	-8.133	0.991	0.623	0.377
LGALS14	-8.134	0.991	0.622	0.378
CDCP2	-8.134	0.991	0.622	0.378
AMZ1	-8.134	0.991	0.622	0.378
TAT	-8.135	0.991	0.622	0.378
JAKMIP2	-8.135	0.991	0.622	0.378
ERO1L	-8.135	0.991	0.622	0.378
C20orf195	-8.137	0.991	0.622	0.378
KIAA1549L	-8.138	0.991	0.622	0.378
SLC30A7	-8.138	0.991	0.622	0.378
OR2T1	-8.139	0.991	0.621	0.379
INMT	-8.140	0.991	0.621	0.379
ZNF658	-8.141	0.991	0.621	0.379
TMEM178A	-8.141	0.991	0.621	0.379
RNF112	-8.142	0.991	0.621	0.379
GUCA1A	-8.142	0.991	0.621	0.379
BCKDHB	-8.143	0.991	0.621	0.379
ELK1	-8.143	0.991	0.621	0.379
KCNJ6	-8.144	0.991	0.621	0.379
LRAT	-8.144	0.991	0.621	0.379
FBXO9	-8.146	0.991	0.621	0.379
WFIKKN2	-8.146	0.991	0.621	0.379
KCNE1L	-8.146	0.991	0.621	0.379
SMAD7	-8.146	0.991	0.621	0.379
STK11IP	-8.147	0.991	0.621	0.379
XAGE3	-8.148	0.991	0.621	0.379
ACSS2	-8.149	0.991	0.621	0.379
MYBPC3	-8.150	0.991	0.620	0.380
CSF2RB	-8.151	0.991	0.620	0.380
GRAMD1B	-8.153	0.991	0.620	0.380
SSR1	-8.153	0.991	0.620	0.380
LRRC8B	-8.154	0.991	0.620	0.380
COQ9	-8.155	0.991	0.620	0.380
PDE11A	-8.155	0.991	0.620	0.380
KCTD8	-8.155	0.991	0.620	0.380
RNF123	-8.156	0.991	0.620	0.380
SLC20A2	-8.156	0.991	0.620	0.380
AADACL4	-8.157	0.991	0.620	0.380
TMED3	-8.157	0.991	0.620	0.380
RBP3	-8.158	0.991	0.620	0.380
JAG2	-8.159	0.991	0.620	0.380
IPO8	-8.159	0.991	0.620	0.380
LIMK2	-8.160	0.991	0.620	0.380
ZRSR2	-8.160	0.991	0.620	0.380
ZMAT1	-8.162	0.991	0.620	0.380
LCT	-8.162	0.991	0.619	0.381
AMZ2	-8.163	0.991	0.619	0.381
PDIA2	-8.163	0.991	0.619	0.381
ZNF500	-8.164	0.991	0.619	0.381
GPR119	-8.165	0.991	0.619	0.381
PAX9	-8.165	0.991	0.619	0.381
KHDC1	-8.166	0.991	0.619	0.381
HAGH	-8.166	0.991	0.619	0.381
CLDN7	-8.166	0.991	0.619	0.381
CHD9	-8.166	0.991	0.619	0.381
HPCAL1	-8.167	0.991	0.619	0.381
BCL11B	-8.167	0.991	0.619	0.381
BHLHE40	-8.170	0.991	0.619	0.381
ANKFN1	-8.170	0.991	0.619	0.381
TNK1	-8.171	0.991	0.619	0.381
IL16	-8.171	0.991	0.619	0.381
HOXB4	-8.172	0.991	0.619	0.381
RGS20	-8.172	0.991	0.619	0.381
XPNPEP3	-8.173	0.991	0.619	0.381
PTCH1	-8.173	0.991	0.619	0.381
ABCG1	-8.174	0.991	0.619	0.381
MMRN1	-8.174	0.991	0.619	0.381
DCHS2	-8.174	0.991	0.619	0.381
DPF3	-8.174	0.991	0.619	0.381
HINT1	-8.175	0.991	0.619	0.381
FAM150A	-8.175	0.991	0.619	0.381
BCMO1	-8.177	0.991	0.619	0.381
FAM213B	-8.178	0.991	0.619	0.381
OR9A4	-8.179	0.991	0.619	0.381
TFEC	-8.181	0.991	0.619	0.381
CEP135	-8.182	0.991	0.619	0.381
CELF2	-8.182	0.991	0.619	0.381
FAM46B	-8.182	0.991	0.619	0.381
C2CD2L	-8.182	0.991	0.619	0.381
NFE2L2	-8.184	0.991	0.619	0.381
NLRC4	-8.184	0.991	0.619	0.381
TRHDE	-8.184	0.991	0.619	0.381
C5orf49	-8.184	0.991	0.619	0.381
TTC36	-8.184	0.991	0.619	0.381
TRNT1	-8.186	0.991	0.619	0.381
ZNF496	-8.188	0.991	0.619	0.381
KLHL5	-8.188	0.991	0.619	0.381
ANXA1	-8.188	0.991	0.619	0.381
MAP3K4	-8.189	0.991	0.619	0.381
CXorf65	-8.189	0.991	0.619	0.381
PCK1	-8.189	0.991	0.619	0.381
PCDHGB4	-8.189	0.991	0.619	0.381
DYNC2LI1	-8.190	0.991	0.619	0.381
CHST9	-8.191	0.991	0.619	0.381
UGT1A8	-8.191	0.991	0.619	0.381
TUBA4A	-8.191	0.991	0.619	0.381
SORBS2	-8.192	0.991	0.619	0.381
TYR	-8.193	0.991	0.618	0.382
OR11L1	-8.193	0.991	0.618	0.382
CXorf31	-8.193	0.991	0.618	0.382
CISH	-8.197	0.991	0.618	0.382
ANKDD1A	-8.197	0.991	0.618	0.382
OR7C1	-8.198	0.991	0.618	0.382
FBXL2	-8.198	0.991	0.618	0.382
CALB1	-8.199	0.991	0.618	0.382
TMEM203	-8.199	0.991	0.618	0.382
PCDHAC1	-8.200	0.991	0.618	0.382
C1orf111	-8.200	0.991	0.618	0.382
TRAPPC9	-8.200	0.991	0.618	0.382
TMEM185A	-8.201	0.991	0.618	0.382
SLC2A12	-8.201	0.991	0.618	0.382
CBLC	-8.202	0.991	0.618	0.382
PXMP2	-8.203	0.991	0.618	0.382
BEX4	-8.204	0.991	0.618	0.382
RPS4Y1	-8.204	0.991	0.618	0.382
DHRS7	-8.208	0.991	0.618	0.382
AQP9	-8.208	0.991	0.618	0.382
RPS6KA1	-8.209	0.991	0.618	0.382
C9orf72	-8.210	0.991	0.618	0.382
LRRC69	-8.210	0.991	0.618	0.382
SALL3	-8.210	0.991	0.618	0.382
MFNG	-8.211	0.991	0.618	0.382
ARHGAP24	-8.212	0.991	0.618	0.382
SEPP1	-8.212	0.991	0.618	0.382
RTN1	-8.214	0.991	0.618	0.382
OR56B4	-8.214	0.991	0.618	0.382
SCN9A	-8.215	0.991	0.618	0.382
CCNG2	-8.216	0.991	0.618	0.382
HDAC4	-8.216	0.991	0.618	0.382
SIGLEC5	-8.216	0.991	0.618	0.382
FBXL4	-8.216	0.991	0.618	0.382
FUT2	-8.217	0.991	0.618	0.382
FREM1	-8.217	0.991	0.618	0.382
IGSF9	-8.217	0.991	0.618	0.382
SORD	-8.218	0.991	0.618	0.382
ATG4A	-8.218	0.991	0.618	0.382
GIMAP8	-8.219	0.991	0.618	0.382
LAMC3	-8.219	0.991	0.618	0.382
MAS1	-8.219	0.991	0.617	0.383
MGME1	-8.221	0.991	0.617	0.383
AIG1	-8.221	0.991	0.617	0.383
FAM9C	-8.221	0.991	0.617	0.383
PTPN21	-8.223	0.991	0.617	0.383
SERPINB1	-8.224	0.991	0.617	0.383
HES4	-8.225	0.991	0.617	0.383
WDR27	-8.225	0.991	0.617	0.383
SLC27A1	-8.226	0.991	0.617	0.383
FXYD5	-8.227	0.991	0.617	0.383
GPR20	-8.227	0.991	0.617	0.383
DACH2	-8.228	0.991	0.617	0.383
PRRT3	-8.229	0.991	0.617	0.383
PGLYRP4	-8.230	0.991	0.617	0.383
SYNRG	-8.232	0.991	0.617	0.383
SPEF2	-8.232	0.991	0.617	0.383
DEFB112	-8.232	0.991	0.617	0.383
C17orf80	-8.232	0.991	0.617	0.383
GATSL3	-8.234	0.991	0.617	0.383
C8B	-8.234	0.991	0.617	0.383
AKR1B10	-8.234	0.991	0.617	0.383
SPINK6	-8.235	0.991	0.617	0.383
AAED1	-8.236	0.991	0.617	0.383
FAP	-8.236	0.991	0.617	0.383
HIST1H4H	-8.237	0.991	0.617	0.383
BIRC3	-8.237	0.991	0.617	0.383
OIT3	-8.237	0.991	0.617	0.383
CCDC38	-8.238	0.991	0.617	0.383
CDV3	-8.238	0.991	0.617	0.383
PLD6	-8.238	0.991	0.617	0.383
CAPZA3	-8.239	0.991	0.617	0.383
LPGAT1	-8.239	0.991	0.617	0.383
AMTN	-8.239	0.991	0.617	0.383
FAM115A	-8.239	0.991	0.617	0.383
OFD1	-8.239	0.991	0.617	0.383
RXFP3	-8.239	0.991	0.616	0.384
PROSC	-8.240	0.991	0.616	0.384
IQCH	-8.244	0.991	0.616	0.384
CASR	-8.245	0.991	0.616	0.384
NPC2	-8.245	0.991	0.616	0.384
USP11	-8.246	0.991	0.616	0.384
CA10	-8.246	0.991	0.616	0.384
TMIGD2	-8.246	0.991	0.616	0.384
NXPE3	-8.247	0.991	0.616	0.384
FAM200A	-8.252	0.991	0.616	0.384
TBX19	-8.252	0.991	0.616	0.384
FBXO34	-8.252	0.991	0.616	0.384
KRT35	-8.252	0.991	0.616	0.384
TMED8	-8.252	0.991	0.616	0.384
PYGO1	-8.254	0.991	0.616	0.384
MMACHC	-8.254	0.991	0.616	0.384
CCL18	-8.254	0.991	0.616	0.384
IL2RB	-8.255	0.991	0.616	0.384
C8orf86	-8.255	0.991	0.615	0.385
ZNF106	-8.257	0.991	0.615	0.385
PITPNA	-8.257	0.991	0.615	0.385
ADAMTS3	-8.257	0.991	0.615	0.385
CARD10	-8.257	0.991	0.615	0.385
CYSTM1	-8.257	0.991	0.615	0.385
ABTB2	-8.258	0.991	0.615	0.385
LY6H	-8.259	0.991	0.615	0.385
PDPN	-8.259	0.991	0.615	0.385
CCDC124	-8.259	0.991	0.615	0.385
VSIG1	-8.259	0.991	0.615	0.385
CDK18	-8.261	0.991	0.615	0.385
CYP19A1	-8.261	0.991	0.615	0.385
LTBP3	-8.261	0.991	0.615	0.385
GIMAP1	-8.261	0.991	0.615	0.385
ATP13A2	-8.261	0.991	0.615	0.385
HDHD1	-8.261	0.991	0.615	0.385
MGA	-8.262	0.991	0.615	0.385
OR6A2	-8.263	0.991	0.614	0.386
SLC6A18	-8.263	0.991	0.614	0.386
NHS	-8.264	0.991	0.614	0.386
CNTN2	-8.264	0.991	0.614	0.386
CDCA7	-8.265	0.991	0.614	0.386
GPR45	-8.266	0.991	0.613	0.387
ATP5S	-8.266	0.991	0.613	0.387
FAM19A2	-8.266	0.991	0.613	0.387
SLC22A14	-8.267	0.991	0.613	0.387
SHH	-8.268	0.991	0.613	0.387
SLC6A2	-8.268	0.991	0.613	0.387
SLC9A3R2	-8.269	0.991	0.613	0.387
CMTM5	-8.269	0.991	0.613	0.387
CPT1A	-8.270	0.991	0.613	0.387
LINC00692	-8.270	0.991	0.613	0.387
HCRTR2	-8.270	0.991	0.613	0.387
GJD2	-8.272	0.991	0.613	0.387
SPATA22	-8.274	0.991	0.613	0.387
ITLN2	-8.275	0.991	0.613	0.387
USB1	-8.276	0.991	0.613	0.387
DPCD	-8.276	0.991	0.613	0.387
PTP4A3	-8.278	0.991	0.613	0.387
TMEM151B	-8.279	0.991	0.613	0.387
RPL22	-8.280	0.991	0.613	0.387
IL24	-8.280	0.991	0.613	0.387
LIPM	-8.281	0.991	0.612	0.388
MB21D2	-8.281	0.991	0.612	0.388
FAM8A1	-8.283	0.991	0.612	0.388
FGF6	-8.284	0.991	0.611	0.389
CSNK2A2	-8.288	0.991	0.611	0.389
REXO2	-8.288	0.991	0.611	0.389
FLRT3	-8.289	0.991	0.611	0.389
IFIT2	-8.290	0.991	0.611	0.389
DYNLL2	-8.294	0.991	0.611	0.389
SYCP1	-8.294	0.991	0.611	0.389
PHTF2	-8.295	0.991	0.611	0.389
CYP2R1	-8.295	0.991	0.611	0.389
RMDN1	-8.295	0.991	0.611	0.389
AP001816.1	-8.297	0.991	0.611	0.389
SPAM1	-8.299	0.991	0.611	0.389
PKD1L1	-8.299	0.991	0.611	0.389
PSPH	-8.300	0.991	0.611	0.389
RNF115	-8.301	0.991	0.611	0.389
SRMS	-8.301	0.991	0.611	0.389
OLR1	-8.302	0.991	0.611	0.389
CLEC14A	-8.303	0.991	0.611	0.389
ZDHHC12	-8.304	0.991	0.611	0.389
ZBTB4	-8.305	0.991	0.611	0.389
DMBT1	-8.309	0.991	0.611	0.389
VGLL3	-8.309	0.991	0.611	0.389
BCAR3	-8.309	0.991	0.611	0.389
CSNK1G3	-8.310	0.991	0.611	0.389
OGFR	-8.311	0.991	0.611	0.389
TPRN	-8.311	0.991	0.611	0.389
OR2A25	-8.312	0.991	0.611	0.389
FIBCD1	-8.312	0.991	0.611	0.389
TESK2	-8.312	0.991	0.611	0.389
P4HB	-8.312	0.991	0.611	0.389
GFRA3	-8.313	0.991	0.611	0.389
ZFP37	-8.314	0.991	0.611	0.389
DHRS13	-8.315	0.991	0.611	0.389
SYCE1L	-8.315	0.991	0.611	0.389
KLHL11	-8.316	0.991	0.611	0.389
PXT1	-8.317	0.991	0.611	0.389
ENTPD4	-8.317	0.991	0.611	0.389
SOX13	-8.318	0.991	0.611	0.389
NOXRED1	-8.318	0.991	0.611	0.389
TAF7L	-8.319	0.991	0.611	0.389
NAPRT1	-8.320	0.991	0.611	0.389
SIX4	-8.320	0.991	0.611	0.389
TTC32	-8.322	0.991	0.611	0.389
MAGEF1	-8.323	0.991	0.611	0.389
PIAS3	-8.324	0.991	0.611	0.389
PERP	-8.326	0.991	0.611	0.389
FGF20	-8.327	0.991	0.611	0.389
SIN3B	-8.328	0.991	0.611	0.389
MUC15	-8.329	0.991	0.611	0.389
FFAR4	-8.330	0.991	0.611	0.389
ANXA13	-8.331	0.991	0.611	0.389
ZNF136	-8.331	0.991	0.611	0.389
SPATA24	-8.331	0.991	0.611	0.389
MS4A14	-8.332	0.991	0.611	0.389
PTH1R	-8.332	0.991	0.611	0.389
BTBD16	-8.334	0.991	0.611	0.389
GJD3	-8.335	0.991	0.611	0.389
MTA1	-8.335	0.991	0.611	0.389
ZFYVE1	-8.337	0.991	0.611	0.389
S100A3	-8.338	0.991	0.611	0.389
PAWR	-8.340	0.991	0.611	0.389
MAG	-8.340	0.991	0.611	0.389
GPBP1	-8.341	0.991	0.611	0.389
IL2	-8.341	0.991	0.611	0.389
SMTN	-8.341	0.991	0.611	0.389
STRA13	-8.343	0.991	0.611	0.389
CYP2U1	-8.343	0.991	0.611	0.389
JAZF1	-8.344	0.991	0.611	0.389
FOPNL	-8.344	0.991	0.611	0.389
ZNF439	-8.345	0.991	0.611	0.389
SPSB1	-8.346	0.991	0.611	0.389
TTC39A	-8.347	0.991	0.611	0.389
ZSWIM4	-8.349	0.991	0.611	0.389
ESRRB	-8.349	0.991	0.611	0.389
MBL2	-8.349	0.991	0.611	0.389
COA6	-8.350	0.991	0.611	0.389
SPINK7	-8.352	0.991	0.611	0.389
DMRTB1	-8.352	0.991	0.610	0.390
JMJD1C	-8.352	0.991	0.610	0.390
ATP2B2	-8.352	0.991	0.610	0.390
ABAT	-8.353	0.991	0.610	0.390
OR52L1	-8.353	0.991	0.610	0.390
SLC2A9	-8.353	0.991	0.610	0.390
EGLN2	-8.354	0.991	0.610	0.390
FLJ27365	-8.354	0.991	0.610	0.390
UXS1	-8.355	0.991	0.610	0.390
PCBP3	-8.356	0.991	0.610	0.390
DNAJC16	-8.357	0.991	0.610	0.390
SLC39A6	-8.357	0.991	0.610	0.390
RNASE2	-8.358	0.991	0.610	0.390
PARP16	-8.360	0.991	0.610	0.390
BTBD19	-8.360	0.991	0.610	0.390
ZNF189	-8.360	0.991	0.610	0.390
NOX1	-8.360	0.991	0.610	0.390
PROS1	-8.361	0.991	0.610	0.390
ZNF837	-8.361	0.991	0.610	0.390
ATL3	-8.362	0.991	0.610	0.390
MEGF9	-8.362	0.991	0.610	0.390
NOTCH2	-8.365	0.991	0.610	0.390
NUDT1	-8.365	0.991	0.610	0.390
DHRS11	-8.365	0.991	0.610	0.390
TNFSF18	-8.367	0.991	0.610	0.390
CPXM2	-8.367	0.991	0.610	0.390
OGN	-8.368	0.991	0.610	0.390
ADAM12	-8.370	0.991	0.610	0.390
OLFM1	-8.370	0.991	0.610	0.390
HHAT	-8.370	0.991	0.610	0.390
CNTNAP2	-8.370	0.991	0.610	0.390
PCDHB13	-8.372	0.991	0.610	0.390
HTR1A	-8.373	0.991	0.609	0.391
NXT2	-8.374	0.991	0.609	0.391
ASPDH	-8.374	0.991	0.609	0.391
KLHL8	-8.374	0.991	0.609	0.391
TM2D3	-8.375	0.991	0.609	0.391
MTHFSD	-8.376	0.991	0.609	0.391
RNASE11	-8.376	0.991	0.608	0.392
PRMT10	-8.376	0.991	0.608	0.392
RAB23	-8.377	0.991	0.608	0.392
SIGLEC15	-8.377	0.991	0.608	0.392
MAP4K3	-8.378	0.991	0.608	0.392
KDELR3	-8.378	0.991	0.608	0.392
MAGEB2	-8.378	0.991	0.608	0.392
PPP1R12B	-8.379	0.991	0.608	0.392
CEP85L	-8.379	0.991	0.608	0.392
GRINA	-8.380	0.991	0.608	0.392
CYS1	-8.380	0.991	0.608	0.392
SPICE1	-8.382	0.991	0.608	0.392
NEK7	-8.383	0.991	0.608	0.392
OR52A5	-8.384	0.991	0.608	0.392
GPR35	-8.384	0.991	0.608	0.392
ZFYVE26	-8.385	0.991	0.608	0.392
SMCO1	-8.385	0.991	0.608	0.392
SCNN1B	-8.387	0.991	0.608	0.392
ATP8B1	-8.387	0.991	0.608	0.392
ESM1	-8.388	0.991	0.608	0.392
ABHD14A	-8.388	0.991	0.608	0.392
KLK11	-8.389	0.991	0.608	0.392
MXRA5	-8.389	0.991	0.608	0.392
UTS2B	-8.389	0.991	0.608	0.392
AKAP8	-8.389	0.991	0.608	0.392
DIP2B	-8.389	0.991	0.608	0.392
SDHAF1	-8.390	0.991	0.608	0.392
DNAH6	-8.392	0.991	0.608	0.392
MYL3	-8.393	0.991	0.608	0.392
CNDP1	-8.393	0.991	0.608	0.392
HEG1	-8.393	0.991	0.608	0.392
AKAP6	-8.393	0.991	0.608	0.392
KRT7	-8.394	0.991	0.608	0.392
ZNF446	-8.396	0.991	0.608	0.392
ANO4	-8.398	0.991	0.608	0.392
OR5L2	-8.398	0.991	0.608	0.392
SNX5	-8.402	0.991	0.608	0.392
PPARGC1B	-8.402	0.991	0.608	0.392
PLXNA3	-8.403	0.991	0.608	0.392
C21orf62	-8.403	0.991	0.608	0.392
PBXIP1	-8.403	0.991	0.608	0.392
GNG2	-8.404	0.991	0.608	0.392
ERAP2	-8.404	0.991	0.608	0.392
ZSCAN5B	-8.405	0.991	0.608	0.392
LRRC31	-8.405	0.991	0.608	0.392
KEL	-8.406	0.991	0.608	0.392
ATXN3	-8.408	0.991	0.608	0.392
CT47B1	-8.408	0.991	0.608	0.392
GRM1	-8.409	0.991	0.608	0.392
GREB1	-8.410	0.991	0.608	0.392
ADD1	-8.410	0.991	0.608	0.392
C2	-8.411	0.991	0.608	0.392
LZTFL1	-8.411	0.991	0.608	0.392
ZNF510	-8.411	0.991	0.608	0.392
ABCA7	-8.411	0.991	0.608	0.392
STX4	-8.412	0.991	0.608	0.392
DOCK11	-8.414	0.991	0.608	0.392
PPFIA3	-8.415	0.991	0.608	0.392
CIDEC	-8.415	0.991	0.608	0.392
ZNF134	-8.416	0.991	0.608	0.392
PDZD11	-8.417	0.991	0.608	0.392
PRAF2	-8.417	0.991	0.608	0.392
C17orf77	-8.417	0.991	0.608	0.392
OSBPL10	-8.418	0.991	0.608	0.392
ANKRD12	-8.419	0.991	0.608	0.392
SCIMP	-8.419	0.991	0.608	0.392
DOCK6	-8.420	0.991	0.608	0.392
PAPSS2	-8.420	0.991	0.608	0.392
DIS3L2	-8.422	0.991	0.608	0.392
STMN1	-8.422	0.991	0.608	0.392
ZNF608	-8.424	0.991	0.608	0.392
MON1B	-8.424	0.991	0.608	0.392
HMGN4	-8.426	0.991	0.608	0.392
TESK1	-8.426	0.991	0.608	0.392
COL5A3	-8.428	0.991	0.608	0.392
ADH7	-8.428	0.991	0.607	0.393
RAD54L2	-8.430	0.991	0.607	0.393
ADAMTS18	-8.430	0.991	0.607	0.393
S1PR1	-8.430	0.991	0.607	0.393
FILIP1	-8.431	0.991	0.607	0.393
FAM102B	-8.431	0.991	0.607	0.393
ZC3H18	-8.431	0.991	0.607	0.393
IFI16	-8.432	0.991	0.607	0.393
EGFLAM	-8.433	0.991	0.607	0.393
ORAI3	-8.433	0.991	0.607	0.393
PDF	-8.434	0.991	0.607	0.393
CDRT15L2	-8.435	0.991	0.607	0.393
KIF9	-8.435	0.991	0.607	0.393
HEY2	-8.435	0.991	0.607	0.393
LYRM7	-8.435	0.991	0.607	0.393
CDH19	-8.436	0.991	0.607	0.393
HSPA6	-8.438	0.991	0.607	0.393
OR8S1	-8.440	0.991	0.607	0.393
A3GALT2	-8.440	0.991	0.607	0.393
SQLE	-8.440	0.991	0.607	0.393
STXBP1	-8.443	0.991	0.607	0.393
VIT	-8.443	0.991	0.607	0.393
EPHA6	-8.444	0.991	0.607	0.393
ADAM15	-8.444	0.991	0.607	0.393
C1orf204	-8.446	0.991	0.607	0.393
ZNF781	-8.446	0.991	0.607	0.393
CKLF	-8.446	0.991	0.607	0.393
C1orf226	-8.447	0.991	0.607	0.393
UNC119B	-8.447	0.991	0.607	0.393
AGL	-8.448	0.991	0.607	0.393
PRG3	-8.448	0.991	0.607	0.393
WNT5B	-8.448	0.991	0.607	0.393
CACNA1E	-8.448	0.991	0.607	0.393
SLC10A5	-8.448	0.991	0.607	0.393
TNFRSF17	-8.449	0.991	0.607	0.393
JUN	-8.449	0.991	0.607	0.393
MN1	-8.450	0.991	0.607	0.393
FLG2	-8.450	0.991	0.606	0.394
SIRPB1	-8.451	0.991	0.606	0.394
TMED6	-8.451	0.991	0.606	0.394
CD1B	-8.452	0.991	0.606	0.394
FAM47A	-8.452	0.991	0.606	0.394
AKAP12	-8.453	0.991	0.606	0.394
TMEM225	-8.453	0.991	0.605	0.395
UROC1	-8.453	0.991	0.604	0.396
FNBP1L	-8.454	0.991	0.604	0.396
CCM2L	-8.455	0.991	0.604	0.396
PDHB	-8.455	0.991	0.604	0.396
APP	-8.455	0.991	0.604	0.396
TMEM185B	-8.455	0.991	0.604	0.396
ARFGAP1	-8.457	0.991	0.604	0.396
SNX21	-8.457	0.991	0.604	0.396
C8orf74	-8.457	0.991	0.604	0.396
CPXM1	-8.458	0.991	0.604	0.396
CTCFL	-8.460	0.991	0.604	0.396
ZNF358	-8.460	0.991	0.604	0.396
CNDP2	-8.461	0.991	0.604	0.396
SHROOM2	-8.461	0.991	0.604	0.396
IFNAR2	-8.462	0.991	0.604	0.396
KCTD3	-8.462	0.991	0.604	0.396
NLRP11	-8.462	0.991	0.604	0.396
CDH5	-8.462	0.991	0.604	0.396
ZNF615	-8.462	0.991	0.604	0.396
IFT57	-8.462	0.991	0.604	0.396
ZNF527	-8.462	0.991	0.604	0.396
ZIK1	-8.464	0.991	0.604	0.396
PIN1	-8.464	0.991	0.604	0.396
CEP350	-8.466	0.991	0.604	0.396
